"STATISTIC Label","Quarter","Eircode Output","UNIT","VALUE"
"New Dwelling Completion","2012Q2","R32: Portlaoise","Number","42"
"New Dwelling Completion","2012Q2","R35: Tullamore","Number","6"
"New Dwelling Completion","2012Q2","R42: Birr","Number","8"
"New Dwelling Completion","2012Q2","R45: Edenderry","Number","0"
"New Dwelling Completion","2012Q2","R51: Kildare","Number","3"
"New Dwelling Completion","2012Q2","R56: Curragh","Number","0"
"New Dwelling Completion","2012Q2","R93: Carlow","Number","8"
"New Dwelling Completion","2012Q2","R95: Kilkenny","Number","12"
"New Dwelling Completion","2012Q2","T12: Cork Southside","Number","10"
"New Dwelling Completion","2012Q2","T23: Cork Northside","Number","5"
"New Dwelling Completion","2012Q2","T34: Carrignavar","Number","0"
"New Dwelling Completion","2012Q2","T45: Glanmire","Number","5"
"New Dwelling Completion","2012Q2","T56: Watergrasshill","Number","2"
"New Dwelling Completion","2012Q2","V14: Shannon","Number","1"
"New Dwelling Completion","2012Q2","V15: Kilrush","Number","1"
"New Dwelling Completion","2012Q2","V23: Caherciveen","Number","3"
"New Dwelling Completion","2012Q2","V31: Listowel","Number","3"
"New Dwelling Completion","2012Q2","V35: Kilmallock","Number","19"
"New Dwelling Completion","2012Q2","V42: Newcastle West","Number","1"
"New Dwelling Completion","2012Q2","V92: Tralee","Number","18"
"New Dwelling Completion","2012Q2","V93: Killarney","Number","22"
"New Dwelling Completion","2012Q2","V94: Limerick","Number","44"
"New Dwelling Completion","2012Q2","V95: Ennis","Number","26"
"New Dwelling Completion","2012Q2","W12: Newbridge","Number","0"
"New Dwelling Completion","2012Q2","W23: Celbridge","Number","13"
"New Dwelling Completion","2012Q2","W34: Monasterevin","Number","1"
"New Dwelling Completion","2012Q2","W91: Naas","Number","25"
"New Dwelling Completion","2012Q2","X35: Dungarvan","Number","2"
"New Dwelling Completion","2012Q2","X42: Kilmacthomas","Number","2"
"New Dwelling Completion","2012Q2","X91: Waterford","Number","11"
"New Dwelling Completion","2012Q2","Y14: Arklow","Number","5"
"New Dwelling Completion","2012Q2","Y21: Enniscorthy","Number","15"
"New Dwelling Completion","2012Q2","Y25: Gorey","Number","10"
"New Dwelling Completion","2012Q2","Y34: New Ross","Number","8"
"New Dwelling Completion","2012Q2","Y35: Wexford","Number","17"
"New Dwelling Completion","2012Q3","All","Number","1205"
"New Dwelling Completion","2012Q3","A41: Ballyboughal","Number","2"
"New Dwelling Completion","2012Q3","A42: Garristown","Number","3"
"New Dwelling Completion","2012Q3","A45: Oldtown","Number","0"
"New Dwelling Completion","2012Q3","A63: Greystones","Number","17"
"New Dwelling Completion","2012Q3","A67: Wicklow","Number","8"
"New Dwelling Completion","2012Q3","A75: Castleblaney","Number","8"
"New Dwelling Completion","2012Q3","A81: Carrickmacross","Number","8"
"New Dwelling Completion","2012Q3","A82: Kells","Number","12"
"New Dwelling Completion","2012Q3","A83: Enfield","Number","5"
"New Dwelling Completion","2012Q3","A84: Ashbourne","Number","7"
"New Dwelling Completion","2012Q3","A85: Dunshaughlin","Number","1"
"New Dwelling Completion","2012Q3","A86: Dunboyne","Number","1"
"New Dwelling Completion","2012Q3","A91: Dundalk","Number","18"
"New Dwelling Completion","2012Q3","A92: Drogheda","Number","46"
"New Dwelling Completion","2012Q3","A94: Blackrock","Number","3"
"New Dwelling Completion","2012Q3","A96: Glenageary","Number","20"
"New Dwelling Completion","2012Q3","A98: Bray","Number","20"
"New Dwelling Completion","2012Q3","C15: Navan","Number","15"
"New Dwelling Completion","2012Q3","D01: Dublin 1","Number","0"
"New Dwelling Completion","2012Q3","D02: Dublin 2","Number","6"
"New Dwelling Completion","2012Q3","D03: Dublin 3","Number","9"
"New Dwelling Completion","2012Q3","D04: Dublin 4","Number","12"
"New Dwelling Completion","2012Q3","D05: Dublin 5","Number","2"
"New Dwelling Completion","2012Q3","D06: Dublin 6","Number","11"
"New Dwelling Completion","2012Q3","D07: Dublin 7","Number","1"
"New Dwelling Completion","2012Q3","D08: Dublin 8","Number","2"
"New Dwelling Completion","2012Q3","D09: Dublin 9","Number","21"
"New Dwelling Completion","2012Q3","D10: Dublin 10","Number","1"
"New Dwelling Completion","2012Q3","D11: Dublin 11","Number","1"
"New Dwelling Completion","2012Q3","D12: Dublin 12","Number","1"
"New Dwelling Completion","2012Q3","D13: Dublin 13","Number","3"
"New Dwelling Completion","2012Q3","D14: Dublin 14","Number","3"
"New Dwelling Completion","2012Q3","D15: Dublin 15","Number","4"
"New Dwelling Completion","2012Q3","D16: Dublin 16","Number","6"
"New Dwelling Completion","2012Q3","D17: Dublin 17","Number","0"
"New Dwelling Completion","2012Q3","D18: Dublin 18","Number","3"
"New Dwelling Completion","2012Q3","D20: Dublin 20","Number","0"
"New Dwelling Completion","2012Q3","D22: Dublin 22","Number","1"
"New Dwelling Completion","2012Q3","D24: Dublin 24","Number","14"
"New Dwelling Completion","2012Q3","D6W: Dublin 6W","Number","0"
"New Dwelling Completion","2012Q3","E21: Cahir","Number","3"
"New Dwelling Completion","2012Q3","E25: Cashel","Number","5"
"New Dwelling Completion","2012Q3","E32: Carrick-on-Suir","Number","4"
"New Dwelling Completion","2012Q3","E34: Tipperary","Number","7"
"New Dwelling Completion","2012Q3","E41: Thurles","Number","14"
"New Dwelling Completion","2012Q3","E45: Nenagh","Number","14"
"New Dwelling Completion","2012Q3","E53: Roscrea","Number","5"
"New Dwelling Completion","2012Q3","E91: Clonmel","Number","8"
"New Dwelling Completion","2012Q3","F12: Claremorris","Number","9"
"New Dwelling Completion","2012Q3","F23: Castlebar","Number","4"
"New Dwelling Completion","2012Q3","F26: Ballina","Number","23"
"New Dwelling Completion","2012Q3","F28: Westport","Number","17"
"New Dwelling Completion","2012Q3","F31: Ballinrobe","Number","3"
"New Dwelling Completion","2012Q3","F35: Ballyhaunis","Number","2"
"New Dwelling Completion","2012Q3","F42: Roscommon","Number","9"
"New Dwelling Completion","2012Q3","F45: Castlerea","Number","8"
"New Dwelling Completion","2012Q3","F52: Boyle","Number","4"
"New Dwelling Completion","2012Q3","F56: Ballymote","Number","2"
"New Dwelling Completion","2012Q3","F91: Sligo","Number","16"
"New Dwelling Completion","2012Q3","F92: Letterkenny","Number","31"
"New Dwelling Completion","2012Q3","F93: Lifford","Number","30"
"New Dwelling Completion","2012Q3","F94: Donegal","Number","31"
"New Dwelling Completion","2012Q3","H12: Cavan","Number","8"
"New Dwelling Completion","2012Q3","H14: Belturbet","Number","3"
"New Dwelling Completion","2012Q3","H16: Cootehill","Number","4"
"New Dwelling Completion","2012Q3","H18: Monaghan","Number","9"
"New Dwelling Completion","2012Q3","H23: Clones","Number","0"
"New Dwelling Completion","2012Q3","H53: Ballinasloe","Number","9"
"New Dwelling Completion","2012Q3","H54: Tuam","Number","13"
"New Dwelling Completion","2012Q3","H62: Loughrea","Number","7"
"New Dwelling Completion","2012Q3","H65: Athenry","Number","4"
"New Dwelling Completion","2012Q3","H71: Clifden","Number","3"
"New Dwelling Completion","2012Q3","H91: Galway","Number","39"
"New Dwelling Completion","2012Q3","K32: Balbriggan","Number","5"
"New Dwelling Completion","2012Q3","K34: Skerries","Number","1"
"New Dwelling Completion","2012Q3","K36: Malahide","Number","4"
"New Dwelling Completion","2012Q3","K45: Lusk","Number","1"
"New Dwelling Completion","2012Q3","K56: Rush","Number","3"
"New Dwelling Completion","2012Q3","K67: Swords","Number","2"
"New Dwelling Completion","2012Q3","K78: Lucan","Number","2"
"New Dwelling Completion","2012Q3","N37: Athlone","Number","8"
"New Dwelling Completion","2012Q3","N39: Longford","Number","29"
"New Dwelling Completion","2012Q3","N41: Carrick-on-Shannon","Number","11"
"New Dwelling Completion","2012Q3","N91: Mullingar","Number","16"
"New Dwelling Completion","2012Q3","P12: Macroom","Number","14"
"New Dwelling Completion","2012Q3","P14: Crookstown","Number","1"
"New Dwelling Completion","2012Q3","P17: Kinsale","Number","6"
"New Dwelling Completion","2012Q3","P24: Cobh","Number","0"
"New Dwelling Completion","2012Q3","P25: Midleton","Number","4"
"New Dwelling Completion","2012Q3","P31: Ballincollig","Number","6"
"New Dwelling Completion","2012Q3","P32: Rylane","Number","3"
"New Dwelling Completion","2012Q3","P36: Youghal","Number","2"
"New Dwelling Completion","2012Q3","P43: Carrigaline","Number","9"
"New Dwelling Completion","2012Q3","P47: Dunmanway","Number","7"
"New Dwelling Completion","2012Q3","P51: Mallow","Number","23"
"New Dwelling Completion","2012Q3","P56: Charleville","Number","4"
"New Dwelling Completion","2012Q3","P61: Fermoy","Number","3"
"New Dwelling Completion","2012Q3","P67: Mitchelstown","Number","1"
"New Dwelling Completion","2012Q3","P72: Bandon","Number","3"
"New Dwelling Completion","2012Q3","P75: Bantry","Number","11"
"New Dwelling Completion","2012Q3","P81: Skibbereen","Number","15"
"New Dwelling Completion","2012Q3","P85: Clonakilty","Number","4"
"New Dwelling Completion","2012Q3","R14: Athy","Number","4"
